
18,116|150,323|0,103|29|58|132212|8542|1972,164|47|257|166|2005114|SC-Acacia-it04|obs
13,002|144,94|0,088|20|98|134791|11121|2041,483|93|257|166|3967566|SC-Acacia-it04|obs
12,844|98,685|0,035|20|76|9884|9884|61,736|58|183|85|902190|SC-Acacia-it04|clear
13,511|113,032|0,036|20|99|10437|10437|74,056|82|193|102|1614252|SC-Acacia-it04|clear
13,512|1294,51|0,029|272|905|51805|51805|665,431|260|282|224|1,642368E+07|SC-Acacia-it08|clear
13,388|1957,441|0,039|536|1503|81620|81620|1349,284|199|285|190|1,077585E+07|SC-Acacia-it08|clear
12,145|2271,128|0,039|632|1939|102700|102700|1779,932|201|286|191|1,097983E+07|SC-Acacia-it08|clear
138,68|90,262|0,061|45|301|41332|41332|522,989|161|204|201|6601644|L-Tree-it08|clear
181,759|69,968|0,071|36|218|32231|32231|358,672|147|217|175|5582325|L-Tree-it10|clear
293,898|118,896|0,07|80|354|52914|52914|728,885|212|248|215|1,130384E+07|L-Tree-it12|clear
266,734|90,317|0,072|43|282|43736|43736|550,386|186|248|242|1,116298E+07|L-Tree-it12|clear
255,407|85,184|0,071|45|265|41027|41027|571,354|212|236|236|1,180755E+07|L-Tree-it12|clear
18,123|2666,712|0,042|872|2274|116484|116484|2196,913|200|274|199|1,09052E+07|SC-Acacia-it08|clear
12,424|2678,482|0,042|692|2306|119713|119713|2186,895|190|274|201|1,046406E+07|SC-Acacia-it08|clear
13,471|2121,475|0,037|762|1723|90894|90894|1509,226|194|278|197|1,06246E+07|SC-Acacia-it08|clear
12,97|2086,066|0,036|568|2135|113018|113018|1957,567|207|278|194|1,116392E+07|SC-Acacia-it08|clear
13,394|2222,989|0,037|635|1987|106051|106051|1846,829|196|279|222|1,213985E+07|SC-Acacia-it08|clear
13,298|2640,72|0,041|828|2123|111301|111301|1961,515|210|287|217|1,307859E+07|SC-Acacia-it08|clear
13,322|2451,518|0,042|793|2220|114103|114103|2009,036|208|278|204|1,17961E+07|SC-Acacia-it08|clear
13,436|3111,041|0,043|956|2581|129677|129677|2948,307|211|275|205|1,189513E+07|SC-Acacia-it08|clear
13,413|2631,266|0,041|858|2303|117950|117950|2106,65|203|287|205|1,194351E+07|SC-Acacia-it08|clear
